time raw_flux bkg_flux res_flux "position angle"
55943.34552456 182620.0738888979 6906.148398399353 175713.92549049854 212.661407
55943.34690197 182528.82886368036 6902.7040290907025 175626.12483458966 212.661407
55943.34827937 182630.66594660282 6898.133042067289 175732.53290453553 212.661407
55943.34965641 182752.07968503237 6986.897807657719 175765.18187737465 212.661407
55943.35103382 183479.26226496696 7711.07251766324 175768.18974730372 212.661407
55953.69691345 186023.08093357086 5676.746748253703 180346.33418531716 225.0
55953.69829085 186465.00800418854 5341.474928319454 181123.53307586908 225.0
55953.69966826 186500.8016180992 5055.154351592064 181445.64726650715 225.0
55953.70104567 186353.6466267109 4796.066036120057 181557.58059059083 225.0
55953.70242271 186315.34359169006 4550.739463478327 181764.60412821174 225.0
55953.70380011 186243.28396093845 4372.425966113806 181870.85799482465 225.0
55953.70517752 186318.9521100521 4352.067845314741 181966.88426473737 225.0
55953.70655493 186281.82536566257 4342.513520929962 181939.3118447326 225.0
55953.70793197 186363.72602152824 4297.88097332418 182065.84504820406 225.0
55953.70930937 186372.52595686913 4314.535718172789 182057.99023869634 225.0
55953.71068678 186444.5646544695 4276.047397181392 182168.5172572881 225.0
55953.71206419 186523.9056891203 4283.7775020599365 182240.12818706036 225.0
55953.71344123 186453.9755846262 4286.980104163289 182166.9954804629 225.0
55953.71481863 186495.4629818201 4282.141232050955 182213.32174976915 225.0
55953.71619604 186543.86799550056 4276.94678337872 182266.92121212184 225.0
55953.71757345 186657.31161141396 4291.484719097614 182365.82689231634 225.0
55953.71895048 186489.3797504902 4266.264545492828 182223.11520499736 225.0
55953.72032789 186501.18023741245 4263.467534735799 182237.71270267665 225.0
55953.7217053 186561.3196028471 4296.389959402382 182264.92964344472 225.0
55953.72308271 186681.32764422894 4306.667714722455 182374.65992950648 225.0
55953.72445974 186600.72200727463 4261.897796005011 182338.82421126962 225.0
55953.72583715 186685.4790945053 4274.56608183682 182410.9130126685 225.0
55953.72721456 186682.8153781891 4284.638467147946 182398.17691104114 225.0
55953.76345308 187212.6471107006 5555.65184918046 181656.99526152015 225.0
55953.76483011 187351.4763879776 5263.173653274775 182088.30273470283 225.0
55953.76620752 187081.72181105614 5000.350155740976 182081.37165531516 225.0
55953.76758493 186969.69561386108 4727.622281372547 182242.07333248854 225.0
55953.76896234 186719.34853804111 4534.14454138279 182185.20399665833 225.0
55953.77033937 186635.8960801363 4369.64180020988 182266.25427992642 225.0
55953.77171678 186712.16776883602 4353.7830017358065 182358.38476710021 225.0
55953.77309419 186661.08835625648 4326.4734317064285 182334.61492455006 225.0
55953.7744716 186692.89867818356 4325.052284032106 182367.84639415145 225.0
55953.77584863 186663.95260882378 4307.808777853847 182356.14383096993 225.0
55953.77722604 186721.37290918827 4304.613958626986 182416.75895056129 225.0
55953.77860345 186704.91502189636 4287.4198042452335 182417.49521765113 225.0
55953.77998085 186672.706199646 4287.169805962592 182385.5363936834 225.0
55953.78135789 186677.57779586315 4291.537490457296 182386.04030540586 225.0
55953.7827353 186615.00002515316 4284.1296591721475 182330.870365981 225.0
55953.78411271 186638.42373979092 4274.335752591491 182364.08798719943 225.0
55953.78549011 186707.18640100956 4277.239035561681 182429.94736544788 225.0
55953.78686715 186654.05963754654 4293.938249126077 182360.12138842046 225.0
